0,1,2,3,4,5,6,7,8,9,10
shopping bags,newspapers,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
citrus fruit,soda,,,,,,,,,
fruit/vegetable juice,soft cheese,,,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
canned beer,sugar,,,,,,,,,
yogurt,butter milk,,,,,,,,,
sausage,long life bakery product,beef,other vegetables,margarine,,,,,,
pork,soda,,,,,,,,,
fruit/vegetable juice,yogurt,pastry,,,,,,,,
citrus fruit,flower (seeds),,,,,,,,,
specialty bar,chewing gum,,,,,,,,,
nuts/prunes,brown bread,newspapers,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
dessert,house keeping products,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
chocolate marshmallow,salt,,,,,,,,,
rolls/buns,soda,other vegetables,vinegar,,,,,,,
specialty fat,pet care,,,,,,,,,
hamburger meat,whole milk,rolls/buns,yogurt,frozen vegetables,,,,,,
beef,frozen vegetables,,,,,,,,,
root vegetables,frozen meals,,,,,,,,,
canned beer,potato products,,,,,,,,,
beef,shopping bags,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
tropical fruit,hygiene articles,candles,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
whole milk,domestic eggs,rolls/buns,long life bakery product,,,,,,,
rolls/buns,yogurt,napkins,yogurt,candy,sliced cheese,,,,,
bottled water,yogurt,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
frankfurter,brown bread,whole milk,root vegetables,,,,,,,
soda,other vegetables,,,,,,,,,
canned beer,hygiene articles,,,,,,,,,
butter milk,citrus fruit,,,,,,,,,
sausage,whole milk,,,,,,,,,
butter,male cosmetics,newspapers,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
bottled beer,oil,whole milk,dishes,,,,,,,
brown bread,pastry,,,,,,,,,
beverages,bottled water,yogurt,,,,,,,,
soda,yogurt,,,,,,,,,
sausage,frozen meals,,,,,,,,,
other vegetables,curd,tropical fruit,brown bread,bottled beer,,,,,,
pip fruit,margarine,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
chocolate,seasonal products,waffles,,,,,,,,
tropical fruit,whole milk,rolls/buns,cream cheese ,whole milk,shopping bags,,,,,
cling film/bags,UHT-milk,pastry,,,,,,,,
packaged fruit/vegetables,yogurt,bottled beer,,,,,,,,
bottled water,tropical fruit,domestic eggs,,,,,,,,
canned beer,margarine,chocolate,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
meat,rolls/buns,root vegetables,,,,,,,,
pip fruit,butter,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
ham,hamburger meat,whole milk,margarine,,,,,,,
beef,frozen meals,pastry,white wine,whipped/sour cream,,,,,,
whole milk,dish cleaner,frozen fish,newspapers,,,,,,,
butter milk,meat,curd,soda,long life bakery product,,,,,,
bottled water,frozen vegetables,,,,,,,,,
pork,processed cheese,,,,,,,,,
coffee,whole milk,canned fruit,,,,,,,,
citrus fruit,napkins,,,,,,,,,
sliced cheese,napkins,,,,,,,,,
ham,whole milk,,,,,,,,,
soda,margarine,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
curd,margarine,,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
frankfurter,rolls/buns,rolls/buns,,,,,,,,
pork,other vegetables,,,,,,,,,
Instant food products,pip fruit,,,,,,,,,
beef,finished products,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
pork,domestic eggs,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
popcorn,citrus fruit,,,,,,,,,
butter,specialty chocolate,frozen meals,,,,,,,,
waffles,butter milk,domestic eggs,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
candy,frozen meals,,,,,,,,,
other vegetables,margarine,brown bread,,,,,,,,
whole milk,soda,other vegetables,,,,,,,,
frankfurter,bottled water,,,,,,,,,
beef,soda,white wine,soft cheese,,,,,,,
tropical fruit,butter,,,,,,,,,
cream cheese ,citrus fruit,sauces,red/blush wine,,,,,,,
yogurt,herbs,,,,,,,,,
newspapers,fruit/vegetable juice,waffles,,,,,,,,
beef,ketchup,pork,hygiene articles,,,,,,,
soda,rolls/buns,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
finished products,cream cheese ,,,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
beverages,pastry,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
bottled water,shopping bags,dog food,,,,,,,,
rolls/buns,dessert,frozen meals,grapes,other vegetables,napkins,other vegetables,,,,
specialty chocolate,soda,,,,,,,,,
other vegetables,bottled water,hard cheese,,,,,,,,
canned beer,chocolate,,,,,,,,,
soda,whole milk,,,,,,,,,
canned beer,organic products,whole milk,frozen dessert,misc. beverages,,,,,,
yogurt,other vegetables,,,,,,,,,
soda,whole milk,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
rolls/buns,shopping bags,cat food,,,,,,,,
domestic eggs,yogurt,canned beer,,,,,,,,
whole milk,sugar,,,,,,,,,
ham,rolls/buns,,,,,,,,,
root vegetables,onions,,,,,,,,,
citrus fruit,whole milk,chocolate,,,,,,,,
beef,turkey,grapes,shopping bags,sliced cheese,bottled water,,,,,
ready soups,pastry,,,,,,,,,
candles,whole milk,,,,,,,,,
soda,pip fruit,coffee,,,,,,,,
whole milk,onions,,,,,,,,,
UHT-milk,brown bread,,,,,,,,,
rolls/buns,detergent,,,,,,,,,
bottled water,whole milk,,,,,,,,,
meat,whole milk,,,,,,,,,
frozen vegetables,red/blush wine,,,,,,,,,
whole milk,brown bread,domestic eggs,,,,,,,,
whole milk,bottled water,,,,,,,,,
sausage,whole milk,,,,,,,,,
yogurt,soda,,,,,,,,,
misc. beverages,sliced cheese,domestic eggs,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
salt,yogurt,rolls/buns,whole milk,,,,,,,
meat,pork,other vegetables,other vegetables,root vegetables,other vegetables,pip fruit,margarine,,,
tropical fruit,yogurt,,,,,,,,,
liquor,dessert,waffles,,,,,,,,
bottled beer,whole milk,cream cheese ,,,,,,,,
rolls/buns,dishes,,,,,,,,,
sugar,butter,,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
grapes,detergent,,,,,,,,,
softener,salty snack,,,,,,,,,
whole milk,pastry,,,,,,,,,
soda,butter,other vegetables,margarine,,,,,,,
sausage,dog food,bottled beer,bottled water,,,,,,,
frankfurter,whole milk,,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
other vegetables,coffee,,,,,,,,,
bottled beer,bottled water,shopping bags,,,,,,,,
tidbits,cream cheese ,,,,,,,,,
whole milk,tropical fruit,other vegetables,yogurt,domestic eggs,,,,,,
pork,rolls/buns,other vegetables,,,,,,,,
whole milk,hard cheese,,,,,,,,,
beef,whole milk,chewing gum,,,,,,,,
whole milk,butter milk,rubbing alcohol,fruit/vegetable juice,,,,,,,
frankfurter,whole milk,,,,,,,,,
shopping bags,bottled water,,,,,,,,,
meat,meat,,,,,,,,,
pip fruit,sliced cheese,fruit/vegetable juice,,,,,,,,
citrus fruit,white bread,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
whole milk,spread cheese,,,,,,,,,
pip fruit,vinegar,misc. beverages,,,,,,,,
ham,white bread,long life bakery product,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
dessert,zwieback,,,,,,,,,
soda,root vegetables,,,,,,,,,
butter milk,shopping bags,baking powder,,,,,,,,
chewing gum,cake bar,,,,,,,,,
roll products ,margarine,,,,,,,,,
canned beer,misc. beverages,long life bakery product,,,,,,,,
frankfurter,soda,canned beer,white bread,brown bread,,,,,,
bottled beer,yogurt,,,,,,,,,
margarine,sausage,snack products,butter,whipped/sour cream,,,,,,
whole milk,coffee,,,,,,,,,
beef,pasta,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
soda,napkins,,,,,,,,,
pastry,shopping bags,sugar,,,,,,,,
root vegetables,frozen vegetables,domestic eggs,,,,,,,,
soda,yogurt,,,,,,,,,
yogurt,soft cheese,,,,,,,,,
newspapers,whole milk,waffles,,,,,,,,
tropical fruit,tropical fruit,whole milk,,,,,,,,
rolls/buns,bottled water,other vegetables,finished products,other vegetables,butter,yogurt,rolls/buns,citrus fruit,,
other vegetables,shopping bags,,,,,,,,,
newspapers,red/blush wine,,,,,,,,,
whole milk,candy,domestic eggs,white wine,,,,,,,
ham,white bread,,,,,,,,,
processed cheese,canned vegetables,,,,,,,,,
whole milk,shopping bags,yogurt,canned beer,,,,,,,
other vegetables,shopping bags,other vegetables,,,,,,,,
newspapers,shopping bags,,,,,,,,,
semi-finished bread,tropical fruit,,,,,,,,,
sausage,meat,,,,,,,,,
yogurt,canned beer,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
sparkling wine,softener,,,,,,,,,
pip fruit,white bread,margarine,baking powder,,,,,,,
frankfurter,whole milk,fruit/vegetable juice,candy,,,,,,,
other vegetables,pork,,,,,,,,,
white wine,condensed milk,,,,,,,,,
soda,grapes,,,,,,,,,
pork,bottled beer,beef,other vegetables,chocolate,snack products,other vegetables,frozen vegetables,,,
bottled beer,hamburger meat,,,,,,,,,
margarine,butter milk,,,,,,,,,
liquor,red/blush wine,,,,,,,,,
frozen vegetables,berries,whole milk,candy,,,,,,,
ham,brown bread,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
tropical fruit,frozen fruits,,,,,,,,,
grapes,coffee,,,,,,,,,
liquor,canned beer,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
long life bakery product,newspapers,,,,,,,,,
liver loaf,frozen meals,yogurt,domestic eggs,flower (seeds),coffee,,,,,
shopping bags,chocolate,,,,,,,,,
berries,other vegetables,sausage,pip fruit,rolls/buns,brown bread,sauces,,,,
hamburger meat,newspapers,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
frozen potato products,whole milk,pastry,rolls/buns,candy,bottled beer,,,,,
canned beer,specialty vegetables,long life bakery product,,,,,,,,
tropical fruit,pip fruit,whole milk,other vegetables,,,,,,,
whole milk,candy,,,,,,,,,
frozen meals,canned vegetables,,,,,,,,,
yogurt,canned beer,,,,,,,,,
flour,tropical fruit,,,,,,,,,
instant coffee,sparkling wine,,,,,,,,,
whole milk,flour,,,,,,,,,
onions,cream cheese ,dishes,,,,,,,,
butter milk,bottled beer,zwieback,,,,,,,,
onions,rum,,,,,,,,,
sausage,specialty chocolate,bottled water,baking powder,,,,,,,
margarine,bottled water,,,,,,,,,
beef,other vegetables,,,,,,,,,
beef,domestic eggs,,,,,,,,,
frozen fish,pastry,,,,,,,,,
frankfurter,pickled vegetables,other vegetables,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
hamburger meat,pip fruit,rolls/buns,dishes,,,,,,,
white bread,frozen fruits,,,,,,,,,
butter milk,butter,,,,,,,,,
whole milk,soft cheese,soda,brown bread,,,,,,,
canned beer,ice cream,newspapers,pastry,bottled beer,,,,,,
sausage,whipped/sour cream,,,,,,,,,
ham,curd,,,,,,,,,
pork,sliced cheese,flour,,,,,,,,
citrus fruit,sugar,specialty chocolate,,,,,,,,
liquor,tropical fruit,other vegetables,,,,,,,,
pastry,bottled water,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
sausage,yogurt,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
ham,cake bar,whole milk,,,,,,,,
newspapers,root vegetables,pastry,margarine,,,,,,,
rolls/buns,napkins,cream cheese ,shopping bags,,,,,,,
other vegetables,soda,,,,,,,,,
ice cream,grapes,,,,,,,,,
grapes,other vegetables,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
other vegetables,margarine,,,,,,,,,
beverages,sparkling wine,,,,,,,,,
bottled beer,dishes,,,,,,,,,
tropical fruit,spread cheese,,,,,,,,,
processed cheese,whole milk,rolls/buns,margarine,,,,,,,
rolls/buns,sugar,,,,,,,,,
frankfurter,beverages,,,,,,,,,
sausage,tropical fruit,margarine,,,,,,,,
bottled water,domestic eggs,pickled vegetables,margarine,,,,,,,
frozen meals,white bread,cereals,ready soups,,,,,,,
onions,brown bread,canned vegetables,canned beer,,,,,,,
soda,other vegetables,white bread,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
pet care,chocolate,,,,,,,,,
domestic eggs,mayonnaise,,,,,,,,,
dishes,yogurt,,,,,,,,,
ice cream,soda,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
whole milk,domestic eggs,syrup,,,,,,,,
white bread,bottled water,,,,,,,,,
other vegetables,pork,rolls/buns,rolls/buns,,,,,,,
whole milk,rolls/buns,,,,,,,,,
curd,cream cheese ,hygiene articles,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
sliced cheese,napkins,,,,,,,,,
whole milk,meat,,,,,,,,,
whole milk,berries,,,,,,,,,
margarine,napkins,,,,,,,,,
whole milk,ice cream,,,,,,,,,
ice cream,curd,,,,,,,,,
pip fruit,chocolate,,,,,,,,,
Instant food products,yogurt,,,,,,,,,
chicken,curd,,,,,,,,,
cat food,whipped/sour cream,whole milk,,,,,,,,
citrus fruit,tropical fruit,soda,coffee,domestic eggs,,,,,,
other vegetables,bottled beer,white bread,fruit/vegetable juice,,,,,,,
hygiene articles,cling film/bags,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
turkey,rolls/buns,,,,,,,,,
finished products,spread cheese,,,,,,,,,
other vegetables,meat spreads,specialty cheese,,,,,,,,
frankfurter,hygiene articles,bottled beer,,,,,,,,
chicken,dishes,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
curd cheese,UHT-milk,,,,,,,,,
tropical fruit,bottled beer,cake bar,yogurt,,,,,,,
yogurt,chicken,bottled water,whole milk,flour,detergent,,,,,
mayonnaise,tropical fruit,packaged fruit/vegetables,beverages,cereals,,,,,,
ham,cream cheese ,,,,,,,,,
frozen fish,margarine,,,,,,,,,
ice cream,dishes,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
pip fruit,shopping bags,white wine,pet care,,,,,,,
chicken,beef,pork,beef,newspapers,dessert,margarine,brown bread,newspapers,,
brown bread,newspapers,margarine,,,,,,,,
onions,root vegetables,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
butter,whole milk,,,,,,,,,
brown bread,hair spray,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
pork,waffles,tropical fruit,pork,canned beer,whipped/sour cream,newspapers,cream cheese ,,,
chicken,tropical fruit,whipped/sour cream,,,,,,,,
butter,pastry,,,,,,,,,
pastry,margarine,,,,,,,,,
fruit/vegetable juice,rolls/buns,packaged fruit/vegetables,ice cream,rolls/buns,pasta,margarine,pip fruit,,,
hamburger meat,yogurt,,,,,,,,,
other vegetables,curd,,,,,,,,,
ham,UHT-milk,,,,,,,,,
processed cheese,rolls/buns,,,,,,,,,
citrus fruit,citrus fruit,oil,root vegetables,,,,,,,
sausage,house keeping products,,,,,,,,,
pastry,frozen potato products,,,,,,,,,
dessert,yogurt,,,,,,,,,
coffee,other vegetables,margarine,domestic eggs,,,,,,,
bottled water,brown bread,,,,,,,,,
canned beer,rolls/buns,rolls/buns,,,,,,,,
beverages,cream cheese ,,,,,,,,,
soda,tropical fruit,other vegetables,bottled water,,,,,,,
frozen meals,rolls/buns,tropical fruit,curd,,,,,,,
whole milk,oil,,,,,,,,,
long life bakery product,condensed milk,,,,,,,,,
whole milk,grapes,pastry,yogurt,,,,,,,
ham,frozen meals,,,,,,,,,
other vegetables,sugar,,,,,,,,,
domestic eggs,pastry,,,,,,,,,
sausage,citrus fruit,red/blush wine,frozen vegetables,cream,,,,,,
beverages,cake bar,cake bar,frozen meals,,,,,,,
chicken,tropical fruit,,,,,,,,,
hygiene articles,vinegar,,,,,,,,,
beef,canned beer,,,,,,,,,
whole milk,newspapers,,,,,,,,,
hamburger meat,root vegetables,seasonal products,shopping bags,,,,,,,
root vegetables,sliced cheese,newspapers,shopping bags,,,,,,,
whole milk,tropical fruit,,,,,,,,,
beef,domestic eggs,pastry,,,,,,,,
yogurt,pip fruit,,,,,,,,,
pip fruit,frozen meals,,,,,,,,,
sugar,shopping bags,,,,,,,,,
tropical fruit,spices,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
shopping bags,frozen vegetables,,,,,,,,,
butter,mayonnaise,,,,,,,,,
rolls/buns,other vegetables,soda,chocolate,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
long life bakery product,brown bread,,,,,,,,,
white bread,candy,,,,,,,,,
beef,ham,,,,,,,,,
other vegetables,herbs,,,,,,,,,
dishes,shopping bags,hard cheese,other vegetables,,,,,,,
turkey,shopping bags,,,,,,,,,
bottled beer,pastry,,,,,,,,,
canned beer,hygiene articles,pork,soft cheese,bottled beer,rolls/buns,chocolate marshmallow,,,,
tropical fruit,tropical fruit,,,,,,,,,
soda,spices,shopping bags,,,,,,,,
chocolate,oil,domestic eggs,fruit/vegetable juice,frozen vegetables,rolls/buns,,,,,
frankfurter,rolls/buns,,,,,,,,,
bottled water,whole milk,rolls/buns,,,,,,,,
onions,waffles,bottled beer,,,,,,,,
dessert,yogurt,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
pip fruit,onions,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
rolls/buns,root vegetables,specialty chocolate,,,,,,,,
sausage,sugar,semi-finished bread,,,,,,,,
red/blush wine,whole milk,,,,,,,,,
pork,frozen meals,margarine,dessert,,,,,,,
canned vegetables,fish,,,,,,,,,
UHT-milk,frozen meals,,,,,,,,,
cream,yogurt,,,,,,,,,
whole milk,margarine,,,,,,,,,
rolls/buns,root vegetables,bottled beer,yogurt,pickled vegetables,,,,,,
chewing gum,spread cheese,,,,,,,,,
whole milk,citrus fruit,long life bakery product,salty snack,chocolate,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
canned fish,yogurt,napkins,,,,,,,,
coffee,pastry,,,,,,,,,
shopping bags,condensed milk,,,,,,,,,
yogurt,bottled water,,,,,,,,,
finished products,whole milk,,,,,,,,,
beverages,shopping bags,,,,,,,,,
other vegetables,mayonnaise,fruit/vegetable juice,,,,,,,,
coffee,sliced cheese,,,,,,,,,
newspapers,long life bakery product,,,,,,,,,
citrus fruit,bottled beer,butter milk,,,,,,,,
cooking chocolate,red/blush wine,cleaner,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
ham,domestic eggs,,,,,,,,,
packaged fruit/vegetables,onions,,,,,,,,,
bottled beer,bottled water,whipped/sour cream,sugar,,,,,,,
tropical fruit,salty snack,,,,,,,,,
tropical fruit,yogurt,brown bread,shopping bags,,,,,,,
coffee,detergent,rolls/buns,pasta,,,,,,,
tropical fruit,bottled water,cream cheese ,,,,,,,,
meat,yogurt,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
root vegetables,frozen vegetables,rolls/buns,,,,,,,,
tropical fruit,syrup,whole milk,,,,,,,,
pork,whole milk,,,,,,,,,
root vegetables,hygiene articles,domestic eggs,,,,,,,,
beef,napkins,,,,,,,,,
whole milk,beef,,,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
sausage,coffee,yogurt,white wine,,,,,,,
pork,specialty chocolate,,,,,,,,,
curd,pork,,,,,,,,,
beef,semi-finished bread,,,,,,,,,
whole milk,margarine,,,,,,,,,
other vegetables,grapes,,,,,,,,,
beef,butter,,,,,,,,,
whole milk,pastry,margarine,pastry,,,,,,,
pastry,berries,,,,,,,,,
chocolate marshmallow,brown bread,,,,,,,,,
ham,female sanitary products,,,,,,,,,
brown bread,flour,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
hamburger meat,sliced cheese,,,,,,,,,
soda,soft cheese,,,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
other vegetables,prosecco,pot plants,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
root vegetables,canned beer,tropical fruit,rolls/buns,,,,,,,
sausage,pork,,,,,,,,,
pastry,napkins,pastry,,,,,,,,
white wine,rolls/buns,,,,,,,,,
pork,finished products,citrus fruit,misc. beverages,,,,,,,
white wine,whole milk,,,,,,,,,
nuts/prunes,butter,soda,bottled beer,,,,,,,
fruit/vegetable juice,beverages,,,,,,,,,
beef,butter milk,,,,,,,,,
butter milk,whipped/sour cream,,,,,,,,,
brown bread,sugar,beef,citrus fruit,yogurt,,,,,,
roll products ,soda,other vegetables,,,,,,,,
rolls/buns,mayonnaise,flour,,,,,,,,
grapes,berries,brown bread,,,,,,,,
citrus fruit,canned fruit,pip fruit,dessert,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
tropical fruit,tropical fruit,,,,,,,,,
napkins,pastry,whole milk,,,,,,,,
yogurt,salty snack,,,,,,,,,
whole milk,whole milk,semi-finished bread,brandy,,,,,,,
soda,soda,,,,,,,,,
sausage,dishes,rum,,,,,,,,
flower (seeds),sliced cheese,soups,,,,,,,,
chicken,UHT-milk,,,,,,,,,
onions,domestic eggs,long life bakery product,pastry,,,,,,,
ice cream,cream cheese ,,,,,,,,,
misc. beverages,domestic eggs,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
sausage,other vegetables,,,,,,,,,
salt,canned beer,roll products ,,,,,,,,
ham,bottled beer,,,,,,,,,
sausage,tea,,,,,,,,,
berries,pet care,,,,,,,,,
newspapers,root vegetables,margarine,,,,,,,,
frozen dessert,misc. beverages,,,,,,,,,
fruit/vegetable juice,candy,fruit/vegetable juice,,,,,,,,
yogurt,brown bread,,,,,,,,,
whipped/sour cream,frozen meals,,,,,,,,,
other vegetables,cake bar,,,,,,,,,
margarine,cream cheese ,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
chewing gum,other vegetables,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
shopping bags,cake bar,,,,,,,,,
brown bread,shopping bags,soda,,,,,,,,
pasta,whole milk,waffles,,,,,,,,
sausage,chicken,domestic eggs,curd,pastry,,,,,,
liver loaf,other vegetables,,,,,,,,,
berries,pastry,,,,,,,,,
dessert,frozen fish,,,,,,,,,
bottled water,sugar,,,,,,,,,
soda,pork,,,,,,,,,
sliced cheese,pasta,,,,,,,,,
tropical fruit,napkins,,,,,,,,,
whole milk,brown bread,,,,,,,,,
soda,pork,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
pastry,newspapers,,,,,,,,,
tropical fruit,UHT-milk,butter milk,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
herbs,onions,brown bread,,,,,,,,
canned beer,seasonal products,,,,,,,,,
whole milk,newspapers,,,,,,,,,
sausage,yogurt,dishes,,,,,,,,
ice cream,specialty chocolate,semi-finished bread,,,,,,,,
chicken,grapes,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
ice cream,butter,,,,,,,,,
whole milk,whole milk,,,,,,,,,
beverages,soda,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
bottled beer,hamburger meat,other vegetables,,,,,,,,
beef,pasta,,,,,,,,,
rolls/buns,root vegetables,domestic eggs,ice cream,,,,,,,
pastry,whole milk,,,,,,,,,
root vegetables,beef,whole milk,curd,,,,,,,
yogurt,canned vegetables,seasonal products,,,,,,,,
syrup,newspapers,processed cheese,rolls/buns,,,,,,,
ham,onions,baking powder,,,,,,,,
sausage,herbs,,,,,,,,,
whole milk,sugar,,,,,,,,,
tropical fruit,hygiene articles,,,,,,,,,
bottled beer,sparkling wine,hamburger meat,rolls/buns,,,,,,,
other vegetables,frozen fish,,,,,,,,,
whole milk,waffles,,,,,,,,,
dessert,root vegetables,,,,,,,,,
salty snack,whole milk,,,,,,,,,
ham,sausage,curd,other vegetables,,,,,,,
sausage,pork,brown bread,waffles,whole milk,flower (seeds),oil,,,,
hamburger meat,pasta,,,,,,,,,
pot plants,other vegetables,,,,,,,,,
dessert,sausage,whole milk,oil,,,,,,,
dessert,citrus fruit,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
onions,cat food,white wine,,,,,,,,
butter,shopping bags,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
pork,other vegetables,,,,,,,,,
shopping bags,soda,soups,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
hygiene articles,grapes,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
pip fruit,whole milk,bottled water,,,,,,,,
pip fruit,ice cream,popcorn,soda,bottled water,rolls/buns,,,,,
frozen meals,sugar,,,,,,,,,
berries,other vegetables,,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
other vegetables,curd,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
hard cheese,canned beer,,,,,,,,,
beef,white wine,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
bottled water,soda,,,,,,,,,
citrus fruit,margarine,,,,,,,,,
other vegetables,ready soups,baking powder,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
margarine,specialty bar,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
frozen meals,bottled beer,,,,,,,,,
domestic eggs,brown bread,specialty chocolate,,,,,,,,
yogurt,tidbits,,,,,,,,,
cream cheese ,toilet cleaner,,,,,,,,,
domestic eggs,shopping bags,,,,,,,,,
citrus fruit,margarine,sliced cheese,,,,,,,,
soda,sugar,,,,,,,,,
nut snack,bottled water,,,,,,,,,
spread cheese,brown bread,,,,,,,,,
tropical fruit,detergent,,,,,,,,,
beverages,other vegetables,root vegetables,,,,,,,,
pip fruit,flower (seeds),,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
butter milk,packaged fruit/vegetables,,,,,,,,,
other vegetables,candy,,,,,,,,,
whole milk,bottled water,,,,,,,,,
whipped/sour cream,ice cream,,,,,,,,,
citrus fruit,other vegetables,fruit/vegetable juice,specialty bar,canned beer,,,,,,
ham,coffee,,,,,,,,,
soft cheese,yogurt,pastry,instant coffee,,,,,,,
pork,domestic eggs,,,,,,,,,
soda,cream cheese ,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
specialty chocolate,frankfurter,citrus fruit,candy,brown bread,,,,,,
root vegetables,dog food,,,,,,,,,
other vegetables,skin care,domestic eggs,,,,,,,,
sausage,other vegetables,,,,,,,,,
pasta,hamburger meat,frozen meals,domestic eggs,,,,,,,
frozen fish,domestic eggs,,,,,,,,,
canned beer,pip fruit,white bread,,,,,,,,
sausage,bottled beer,,,,,,,,,
long life bakery product,UHT-milk,whole milk,,,,,,,,
tropical fruit,soda,rolls/buns,,,,,,,,
other vegetables,baking powder,salty snack,,,,,,,,
pastry,baking powder,mustard,,,,,,,,
chicken,white wine,margarine,,,,,,,,
root vegetables,brown bread,,,,,,,,,
pastry,liquor,shopping bags,,,,,,,,
soda,soda,,,,,,,,,
beverages,tropical fruit,ham,flour,,,,,,,
yogurt,seasonal products,,,,,,,,,
bottled water,chicken,other vegetables,ketchup,,,,,,,
pot plants,bottled water,,,,,,,,,
pip fruit,other vegetables,hard cheese,sausage,rolls/buns,pip fruit,grapes,other vegetables,,,
berries,pip fruit,,,,,,,,,
cream cheese ,soda,,,,,,,,,
dessert,sugar,,,,,,,,,
pastry,pastry,,,,,,,,,
tropical fruit,butter milk,brown bread,,,,,,,,
